grid,velocity,T,density,Y_H2,Y_H,Y_O2,Y_O,Y_OH,Y_HO2,Y_H2O2,Y_H2O,Y_N2
0.027867187500000005,2.4081111682782677,311.214724255983,0.8270940249652913,0.027482642380239553,1.7807146998152089e-09,0.22653146529441026,9.588118274329919e-07,9.939125390971917e-07,2.8934614452221584e-05,5.067688234038202e-06,0.00017934262927611592,0.7457705928883065
0.027875000000000004,2.4336453117673185,315.0900458650949,0.8184160166927432,0.027290706765740615,4.855392762279229e-09,0.22651361229869593,1.365520332198893e-06,1.6968696811098498e-06,4.569597313702028e-05,7.922936417801514e-06,0.0002751945075508113,0.7458638002730518
0.027882812500000003,2.4695373559193694,320.4282072470502,0.8065211992159654,0.02706257160746832,1.4283972761081014e-08,0.226461048274073,1.981133795752518e-06,2.974935850633479e-06,7.268279803466987e-05,1.240143202983428e-05,0.00042537235067787767,0.7459609531840973
0.027886718750000004,2.49278452596617,323.840944291678,0.7989997397741769,0.026932298912987717,2.6496943059910747e-08,0.22641251056482253,2.419181264381329e-06,4.0484597649110284e-06,9.20668561880407e-05,1.55330870223685e-05,0.0005320931373685256,0.7460090033036384
0.027890625000000002,2.5205170363984633,327.87774523881524,0.7902085614794911,0.02679053217484859,4.816223948002667e-08,0.22634213520706647,2.979517855674526e-06,5.575675668499134e-06,0.00011671636635947422,1.9455364043379e-05,0.0006677773512428112,0.7460547801806756
0.027894531250000004,2.55347507793022,332.639318216231,0.7800092155750131,0.026636713866844516,8.661433914300763e-08,0.22624382725489833,3.7020832157033942e-06,7.76712367131207e-06,0.00014751859020255671,2.4298156457999615e-05,0.0008393281352199541,0.7460967581751506
0.027898437500000005,2.592470131265002,338.2361478092609,0.7682765629299478,0.02647037336163231,1.5405932804405955e-07,0.22611048616738832,4.64184895523085e-06,1.093351936706747e-05,0.00018517878189779066,3.017574955163751e-05,0.0010548270672535542,0.7461332294446261
0.027902343750000003,2.638367474756555,344.7862342636019,0.7549115166006838,0.02629115300790036,2.7028183629105767e-07,0.22593413036209026,5.874285266501126e-06,1.552465927519005e-05,0.00022998914839122934,3.716684657655017e-05,0.001323513026337827,0.7461623783823257
0.027906250000000004,2.69205568076449,352.41110287917246,0.739856147328555,0.026098832026274027,4.6631574591601667e-07,0.22570614587404358,7.501930928516091e-06,2.217148954588167e-05,0.00028155437367474696,4.52926945346896e-05,0.0016556418592053367,0.7461823934360474
0.027910156250000005,2.754400627802637,361.2297435592416,0.7231097331304055,0.025893344706561842,7.89064051813919e-07,0.22541764578500875,9.661390337402315e-06,3.1719208480483534e-05,0.0003385408949402775,5.449877282648412e-05,0.0020621897190185564,0.7461916104587744
0.027914062500000003,2.826183762392715,371.35042912345517,0.7047432290530928,0.02567478907324078,1.3065700408151952e-06,0.22505989031261364,1.2529283095558261e-05,4.5229764248786574e-05,0.0003985591976403681,6.464664878610582e-05,0.0025543798396981624,0.7461886693106358
0.027917968750000004,2.9080283984966635,382.8608964138439,0.6849086658277186,0.025443422877552514,2.1132418065033605e-06,0.22462469438933658,1.63248024147079e-05,6.39248248637615e-05,0.00045829808033023763,7.552033440372996e-05,0.003143049379865702,0.7461726520694263
0.027921875000000006,3.000323256768881,395.8180945241158,0.6638397515601244,0.025199645802410724,3.3338971675096783e-06,0.22410476188921966,2.1306083533806156e-05,8.904329654417949e-05,0.0005139746173220538,8.684545402603278e-05,0.00383792561713115,0.7461431633426449
0.027923828125000005,3.0504428814294635,402.85162855902917,0.6529326893755912,0.02507206926633225,4.167659597818661e-06,0.2238075722508564,2.438141047572802e-05,0.00010456232662519634,0.0005391845701084487,9.261759489343109e-05,0.004232363949191869,0.7461230809719189
0.027925781250000004,3.1032928095698074,410.26459762834344,0.6418130581641152,0.024941450287343587,5.171453126669361e-06,0.2234847789019794,2.7886567442964155e-05,0.00012214464568659637,0.0005619304495374302,9.839310020208191e-05,0.004658679653052701,0.7460995649416287
0.027927734375000006,3.1588321843235234,418.052185046931,0.6305285510205865,0.024807872992465525,6.370871781105472e-06,0.22313564055430216,3.186169107917126e-05,0.00014183752490382556,0.0005818355804675415,0.000104127919020695,0.00511772069564384,0.7460727321703362
0.027929687500000005,3.216994932432757,426.2062412315507,0.6191286917887111,0.024671424990434686,7.792972557917161e-06,0.22275951700255403,3.634587818400691e-05,0.00016363722920081805,0.0005986243382977693,0.00010977740255105353,0.005610156991385342,0.7460427231948344
0.027931640625000004,3.2776950180239437,434.71587954279886,0.6076629727663145,0.024532196525793058,9.465906341577435e-06,0.2223558785681989,4.1376292896171806e-05,0.0001874826228420099,0.000612129439911661,0.00011529650519698542,0.006136479645778707,0.7460096944930409
0.027933593750000006,3.3408243536382676,443.5672753475525,0.5961803681001573,0.02439027904478758,1.1418492738114716e-05,0.22192431939401905,4.698731762258858e-05,0.0002132515448844596,0.0006222903980205281,0.0001206400373618648,0.006697003010610017,0.7459738107599557
